name,rank,frequency
Gilliam,1233,28041
Arredondo,1234,28020
Hyde,1235,28009
Pate,1236,27998
Godfrey,1237,27953
Rosado,1238,27943
Joyner,1239,27913
Tyson,1240,27872
Childs,1241,27853
Hatcher,1242,27844
Chamberlain,1243,27832
Carranza,1244,27830
Chin,1245,27823
Sorensen,1246,27819
Romano,1247,27782
Downing,1248,27775
Mobley,1249,27771
Britton,1250,27730
Haines,1251,27705
Escobedo,1252,27650
Hickey,1253,27647
Kaplan,1254,27627
Grace,1255,27610
Hilton,1256,27585
Coronado,1257,27539
Bermudez,1258,27437
Holcomb,1259,27413
Paredes,1260,27350
Sinclair,1261,27347
Rankin,1262,27295
Knowles,1263,27231
Arthur,1264,27204
Kern,1265,27153
Dye,1266,27118
Aquino,1267,27107
Paz,1268,27105
Womack,1269,27087
Hollis,1270,27084
Varela,1271,27044
Madison,1272,27036
Foreman,1273,27034
Gil,1274,27026
Lyon,1275,26997
Fink,1276,26995
Wills,1277,26978
Delatorre,1278,26920
Hastings,1279,26903
Doherty,1280,26897
Renteria,1281,26887
Lockhart,1282,26866
Quiroz,1283,26865
Denton,1284,26745
Olvera,1285,26722
He,1286,26687
Mccray,1287,26678
Manuel,1288,26670
Thao,1289,26668
Rutherford,1290,26667
Sykes,1291,26650
Pierson,1292,26626
Sargent,1293,26620
Hatch,1294,26612
Montano,1295,26592
Dwyer,1296,26585
Burks,1297,26569
Belcher,1298,26554
Pryor,1299,26548
Boggs,1300,26542
Madrid,1301,26510
Gabriel,1302,26489
Tuttle,1303,26486
Baca,1304,26483
Magee,1305,26445
Muller,1306,26426
Jamison,1307,26400
Rahman,1308,26383
Fonseca,1309,26380
Carmona,1310,26379
Mckenna,1311,26305
Dolan,1312,26300
Broussard,1313,26277
Burgos,1314,26230
Louis,1315,26229
Soriano,1316,26178
Covington,1317,26160
Slaughter,1318,26158
Kendrick,1319,26142
Langley,1320,26134
Kenney,1321,26131
Leyva,1322,26104
Madrigal,1323,26085
Cao,1324,26062
Granados,1325,26058
Mcgill,1326,26057
Boyce,1327,26044
Hopper,1328,26014
Head,1329,26001
Dempsey,1330,25900
Sheehan,1331,25895
Quezada,1332,25879
Harden,1333,25878
Mcnamara,1334,25856
Courtney,1335,25782
Puckett,1336,25781
Locke,1337,25742
Ibrahim,1338,25717
Michel,1339,25704
Clemons,1340,25688
Corbin,1341,25683
Burt,1342,25595
Stinson,1342,25595
Webber,1344,25561
Polk,1345,25517
Mcginnis,1346,25512
Cassidy,1347,25508
Romo,1348,25500
Aviles,1349,25475
Rico,1350,25453
Rucker,1351,25451
Herron,1352,25450
Hinojosa,1353,25442
Lott,1354,25441
Shirley,1355,25421
Sterling,1356,25411
Bland,1357,25402
Hamm,1358,25397
Dickinson,1359,25393
Gomes,1359,25393
Rutledge,1361,25388
Downey,1362,25382
Dunbar,1363,25377
Pike,1363,25377
Robison,1365,25371
Whitley,1366,25367
Jacob,1367,25360
Ocampo,1368,25342
Christopher,1369,25312
Elias,1370,25310
Simms,1371,25308
Gamez,1372,25307
Gustafson,1373,25297
Jung,1374,25281
Kirkpatrick,1375,25272
Burris,1376,25269
Nieto,1377,25256
Nicholas,1378,25235
Bingham,1379,25224
Goss,1380,25218
Meier,1381,25215
Pina,1382,25202
Fraser,1383,25192
Bowling,1384,25189
